,0
0,0.07213164865970612
1,0.06039103493094444
2,0.049500614404678345
3,0.039292920380830765
4,0.030912140384316444
5,0.026487303897738457
6,0.02377420850098133
7,0.02147541381418705
8,0.0204003993421793
9,0.019410207867622375
10,0.018998488783836365
11,0.018646957352757454
12,0.018096866086125374
13,0.0174905676394701
14,0.01716698333621025
15,0.01689358428120613
16,0.016693569719791412
17,0.016459228470921516
18,0.016358032822608948
19,0.016186635941267014
20,0.01667284406721592
21,0.017755815759301186
22,0.016361800953745842
