,0
0,0.07313369959592819
1,0.0651332288980484
2,0.06105247884988785
3,0.054676033556461334
4,0.04794732853770256
5,0.0407852865755558
6,0.035671416670084
7,0.03139544650912285
8,0.02861982025206089
9,0.025727786123752594
10,0.022483598440885544
11,0.021101288497447968
12,0.0198760237544775
13,0.020354846492409706
14,0.01917528361082077
15,0.0182223878800869
16,0.018034787848591805
17,0.017838045954704285
18,0.017667720094323158
19,0.017532674595713615
20,0.01740608736872673
21,0.016971049830317497
22,0.0167968962341547
23,0.01659689098596573
24,0.016498925164341927
25,0.016471432521939278
26,0.01633564382791519
27,0.016129184514284134
28,0.01703871600329876
29,0.017681844532489777
30,0.016837691888213158
31,0.015975039452314377
32,0.015816204249858856
33,0.01576407253742218
34,0.01549383345991373
35,0.015221141278743744
36,0.0154739860445261
37,0.015322696417570114
38,0.015676839277148247
39,0.015404356643557549
40,0.015094459056854248
41,0.01515051070600748
42,0.015028400346636772
43,0.014923549257218838
44,0.014955858699977398
45,0.01483735628426075
46,0.014838454313576221
47,0.014752543531358242
48,0.014615589752793312
49,0.014489777386188507
